Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,directions
Roasted Winter Squash Seeds,4.7,Roasted butternut squash seeds are delicious. Next time you prepare butternut or acorn squash — save the seeds and have yourself a nutritious little snack!,10 mins,15 mins,25 mins,4,"1 cup butternut squash seeds or other hard squash seeds | 1 tablespoon olive oil | ½ teaspoon salt, or to taste",https://www.allrecipes.com/thmb/zaxLSl4pOh8qGZKjX1V2WSzb4QM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-54873-Roasted-Winter-Squash-Seeds-ddmfs-4x3-74e1c53fdf014828bf8d4a3fc2649d81.jpg,10.0,15.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Preheat the oven to 275 degrees F (135 degrees C). Line a baking sheet with parchment paper or aluminum foil.
- After removing the seeds from the squash, rinse with water, and remove any strings and bits of squash. Pat dry, and place in a small bowl. Stir the olive oil and salt into the seeds until evenly coated. Spread out in an even layer on the prepared baking sheet.
- Bake for 15 minutes, or until seeds start to pop. Remove from oven and cool on the baking sheet before serving."
Slow Cooker Beer Pulled Pork,4.8,"My recipe for pulled pork is simple: 1 can of beer, a 5- to 6-pound pork butt, seasonings, and a bottle of barbecue sauce. My beer choice is Shiner Bock, and my barbecue sauce choice is Sweet Baby Ray's. Just put it in a slow cooker before you go to bed, and when you wake up the magic has happened. See for yourself! Serve on onion buns or hamburger buns.",15 mins,10 hrs,10 hrs 15 mins,16,1 (5 pound) pork butt roast | 2 teaspoons salt | 1 teaspoon ground black pepper | 1 teaspoon onion powder | 1 teaspoon garlic powder | 1 (12 fluid ounce) can beer (such as Shiner® Bock) | 1 (12 ounce) bottle barbecue sauce (such as Sweet Baby Ray's®),,15.0,600.0,615.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Set the slow cooker to High.
- Place the pork in the slow cooker. Season top of pork with salt, pepper, onion powder, and garlic powder. Pour beer into the bottom of the slow cooker and place the lid on the slow cooker crock.
- Cook pork on High for 1 hour. Reduce slow cooker heat to Low and cook for at least 8 hours or overnight.
- Remove pork from the slow cooker and shred with two forks. Discard juices and rinse out slow cooker crock. Return shredded pork to slow cooker and stir barbeque sauce into pork.
- Cook on Medium for 1 hour."
Chaffles,4.8,"This chaffles recipe makes low-carb waffles that can be used in so many ways. You can change the texture by adding some almond or coconut flour, turn them into sandwiches, modify them into a dessert, change the flavor by using different cheese, etc. This is a basic chaffle, and it's delicious for breakfast with a pat of butter and a drizzle of sugar-free syrup.",5 mins,10 mins,15 mins,2,1 large egg | ½ cup shredded mozzarella cheese,https://www.allrecipes.com/thmb/vku7YjLs392xM7TQAzv4bxaYkZ8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7666385-4d7916073ff740d083ea5f4042f01d7b.jpg,5.0,10.0,15.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",
Quick Pickled Radishes,4.8,"Pickled radishes add a nice flavor to so many things, including salads, noodle bowls, tacos, and brisket sandwiches. They're even great on their own! They're easily customizable with different spices and seasonings. These are ready in minutes, but the flavor only gets better overnight. They will turn a lovely shade of pink the longer they sit.",15 mins,5 mins,25 mins,4,"10 radishes, thinly sliced | ⅔ cup white wine vinegar | ⅓ cup water | 1 tablespoon white sugar | 1 teaspoon salt | 1 star anise pod | ½ teaspoon cumin seed | ½ teaspoon black peppercorns",https://www.allrecipes.com/thmb/prEbaJ0Ios8mdZM9QzOkpK9Kfko=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6345010-quick-pickled-radishes-France-C-4x3-1-be907ef8e7a34b4f88f09687550149c3.jpg,15.0,5.0,25.0,5.0,D,Short Wait,Wait time 1-30 min,"- Take a large deep dish and lay the radishes out in it.
- In a large pot add the pickling ingredients and bring to a boil.
- Remove from heat and pour the boiling mix over the radishes in each dish.
- Cover tightly with plastic wrap immediately and set aside.
- Once cooled to room temperature, strain and serve."
Arroz con Pollo Perunao (Peruvian Rice with Chicken),4.5,I was taught by my Peruvian mother-in-law how to cook some of my husband's favorite meals. I have perfected her arroz con pollo peruano (Peruvian rice with chicken) — she even says it is better than hers!,30 mins,1 hr 30 mins,2 hrs 5 mins,6,"4 tablespoons vegetable oil | 6 chicken thighs, skinned and patted dry | 6 chicken drumsticks with skin, patted dry | salt and black pepper to taste | 1 ½ bunches fresh cilantro, leaves picked from stems | 6 cloves garlic, peeled and coarsely chopped | 1 Peruvian aji pepper, seeded and deveined | 1 tablespoon Worcestershire sauce | ½ cup orange juice | 2 cups uncooked white rice | 2 onions, chopped | ½ cup white wine | 3 ½ cups chicken broth | 1 teaspoon freshly ground black pepper | 1 large carrot, peeled and diced | 1 bell pepper, any color, sliced into rings | ¾ cup frozen peas",https://www.allrecipes.com/thmb/BjWyPcQBU7DjN4WX2FyJMnQV0MQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3204910-cc211fd66cd44620a71b371866ad76e1.jpg,30.0,90.0,125.0,5.0,D,Short Wait,Wait time 1-30 min,
Pakistani Potato Chicken,3.8,This is a slightly spicy Pakistani dish of chicken and potatoes.,25 mins,50 mins,1 hr 15 mins,6,"3 tablespoons vegetable oil | 2 teaspoons garlic paste | 1 teaspoon minced fresh ginger root | 1 teaspoon round red chile pepper, minced, or to taste | ½ teaspoon ground cumin | salt to taste | ¼ cup plain yogurt | 1 (3 pound) broiler/fryer chicken, cut up and skin removed | 1 green bell pepper, chopped | 4 medium potatoes, peeled and cut into 1-inch cubes | 1 tablespoon fresh chopped cilantro, for garnish",https://www.allrecipes.com/thmb/kAiSaMf4DeK6bMPTbAa3QJYEUlc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/647532-c170414448c54d5291c2d27515ce0b2f.jpg,25.0,50.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Heat vegetable oil in a pot over medium heat. Stir in garlic paste and ginger; cook and stir for about 1 minute. Add the minced chile, cumin, salt, and yogurt.
- Stir in chicken pieces and bell pepper. Cover pot and simmer over low heat, until the oil separates and chicken is mostly cooked, 20 to 30 minutes.
- Mix in potatoes; add a little water, if necessary. Cook on low heat until potatoes are tender, about 20 minutes more. Garnish with chopped cilantro and serve."
Southern Coleslaw,4.8,This Southern coleslaw recipe has been passed down the generations and is great for any occasion. It has the perfect balance of sweet and tangy. I've even been told it is reminiscent of KFC coleslaw. You be the judge!,20 mins,,2 hrs 20 mins,8,"1 head cabbage, finely shredded | 2 carrots, finely chopped | 2 tablespoons finely chopped onion | ½ cup mayonnaise | ⅓ cup white sugar | ¼ cup milk | ¼ cup buttermilk | 2 tablespoons lemon juice | 2 tablespoons distilled white vinegar | ½ teaspoon salt | ⅛ teaspoon ground black pepper",,20.0,,140.0,120.0,,,,"- Place the tomato in a large bowl, and season with salt and pepper. Stir in the coleslaw mix and lime juice. Refrigerate for 10 minutes before serving."
Brownie Mix-Black Bean Brownies,4.7,"You won't believe how chocolate-y and moist these brownies are. I like to make them in mini muffin cups with mini foil cupcake liners. Dust them with powdered sugar and you have a decadent treat with the benefit of more protein, more fiber, and fewer fat calories.",10 mins,25 mins,1 hr,24,"1 (15 ounce) can black beans, rinsed and drained | 1 cup water | 1 package brownie mix | 1 cup chocolate chips, divided",https://www.allrecipes.com/thmb/e5QAk70n1zeDpIFVExvT7dXOzkI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/237100brownie-mix-black-bean-brownies4x3-882688893b9d4377a019e5576c2c2b76.jpg,10.0,25.0,60.0,25.0,D,Short Wait,Wait time 1-30 min,"- Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13-inch baking dish.
- Blend black beans and water together in a blender until smooth; pour into a bowl. Stir brownie mix into black bean mixture until batter is smooth; fold in 1/2 cup chocolate chips. Pour batter into prepared baking dish. Sprinkle remaining 1/2 cup chocolate chips over batter.
- Bake in the preheated oven until a toothpick inserted 2 inches from the side of the pan comes out clean, 25 to 27 minutes. Cool brownies completely on a wire rack before cutting into squares."
Cousin David's Slow Cooker Brisket,4.3,This is a family recipe passed along by my late cousin David. It is so simple...just four ingredients thrown in the slow cooker! Not only is it great to come home to a hot delicious meal...your home will smell wonderful too! The brisket is great with the extra gravy spooned over egg noodles or mashed potatoes.,5 mins,10 hrs,10 hrs 5 mins,4,1 (3 pound) beef brisket | 2 (12 ounce) bottles chili sauce | 1 (1 ounce) envelope dry onion soup mix | 2 teaspoons garlic powder,https://www.allrecipes.com/thmb/LT_pNBBMvQVhhFCdrslQgDcOPUA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7267652-b0687b17f0e646649a93b5f9e2442c12.jpg,5.0,600.0,605.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Place the beef brisket into a slow cooker. In a medium bowl, mix together the chili sauce, onion soup mix, and garlic powder. Pour over the brisket. Cover, and cook on the Low setting for 8 to 10 hours. Slice the brisket against the grain, and pour the gravy over the slices."
Snickerdoodles II,4.6,Here's the recipe that I got from my mother.,15 mins,10 mins,25 mins,30,1 cup shortening | 1 ½ cups white sugar | 2 eggs | 2 ¾ cups sifted all-purpose flour | 1 teaspoon baking soda | 2 teaspoons cream of tartar | ¼ teaspoon salt | 2 tablespoons white sugar | 2 teaspoons ground cinnamon,https://www.allrecipes.com/thmb/pCpY1IdQ7I6n7D_bAsquD7ggMrA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/318183-8d6bae3ee716481ba42d2c386a5dd447.jpg,15.0,10.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Preheat oven to 400 degrees F (200 degrees C).
- In a large bowl, mix together the shortening and 1 1/2 cups of white sugar until smooth. Stir in the eggs one at a time, blending well after each. Combine the flour, baking soda, cream of tartar and salt; stir into the batter until blended.
- Roll the dough into balls the size of small walnuts. Roll in a mixture of 2 tablespoons sugar and 2 teaspoons cinnamon. Place 2 inches apart on an ungreased cookie sheet.
- Bake in the preheated oven for 8 to 10 minutes or until lightly browned, but still soft."
Apple Coffee Cake,4.8,"This moist apple coffee cake made with Granny Smith apples, sour cream, and vanilla yogurt is really easy to make and so good to eat!",20 mins,35 mins,55 mins,8,"1 cup all-purpose flour | ¾ teaspoon ground cinnamon | ½ teaspoon baking soda | ¼ teaspoon salt | ¾ cup brown sugar | ¼ cup unsalted butter, softened | 1 large egg | ¼ cup sour cream | ¼ cup vanilla yogurt | 1 teaspoon vanilla extract | 2 cups diced Granny Smith apple | ¼ cup brown sugar | ¼ cup all-purpose flour | 2 tablespoons unsalted butter, cut into small pieces | ½ teaspoon ground cinnamon",,20.0,35.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Mix the ingredients in order given and bake in a 350° oven for 45 minutes.
- Sprinkle with sugar and serve warm."
Sweet as Sugar Cookies,3.6,"Splenda is used in this cookie recipe, resulting in a batch of sweet treats that will bring forth childhood memories.",30 mins,10 mins,1 hr 40 mins,30,"4 cups all-purpose flour | 1 teaspoon baking powder | ½ teaspoon salt | 1 cup unsalted butter, softened | 1 cup SPLENDA® Naturals Sugar & Stevia Sweetener Blend | 2 large eggs | 2 teaspoons vanilla extract | 2 tablespoons colored decorating sugar, or as needed (Optional)",https://www.allrecipes.com/thmb/AGd8yMMT7mmHWjrVL6YdXxspmLE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4582206-e596a2702ced491a9afb2798cbaa7855.jpg,30.0,10.0,100.0,60.0,E,Long Wait,Wait time > 30 min,"- Beat butter at medium speed with an electric mixer in a medium mixing bowl until creamy. Gradually add SPLENDA(R) Naturals Sugar & Stevia Sweetener Blend, beating well. Add eggs, one at a time, mixing well after each addition. Stir in vanilla.
- Combine flour, baking powder, and salt in a separate mixing bowl. Gradually add flour mixture to SPLENDA(R) Naturals Sugar & Stevia Sweetener Blend mixture, beating until blended. Do not over-mix.
- Place dough on a lightly floured work surface. Divide dough in half; pat each half into a circle and wrap with plastic wrap. Chill cookie dough for one hour or until slightly firm.
- Preheat oven to 325 degrees F.
- Remove dough from refrigerator. Work with one portion of dough at a time. Roll each portion to 1/8-inch thickness on a lightly floured surface. Cut with a cookie cutter, and place on lightly greased cookie sheets. Sprinkle with decorative candies or colored sugars, if desired.
- Bake in preheated oven 8 to 10 minutes or until edges of cookies are lightly browned. Cool slightly on cookie sheets; remove to wire racks to cool completely."
Indian Masala Chicken Wings,4.9,Marinate chicken wings ahead of time in a simple homemade masala paste for an explosion of spicy Indian flavors. Serve with lemon wedges and steamed basmati rice.,10 mins,15 mins,4 hrs 25 mins,10,"2 teaspoons ground coriander | 2 teaspoons ground cumin | ½ teaspoon ground cardamom | ½ teaspoon hot chile powder | ½ teaspoon ground black pepper | ¼ teaspoon ground cloves | 1 tablespoon vegetable oil | 1 tablespoon water | 1 teaspoon salt, or more as needed | 5 large chicken wings, cut in 2, tips discarded",https://www.allrecipes.com/thmb/Os2BxKSPlHWeYVS-mbuuMJdjxUQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6515113-indian-masala-chicken-wings-France-C-4x3-1-fffeca712b8e4cf687f32ed337afd7d6.jpg,10.0,15.0,265.0,240.0,E,Long Wait,Wait time > 30 min,
Vegan Butternut Squash Soup with Almond Milk,5.0,"This is a rich and savory vegan butternut squash soup with almond milk recipe to make for lunches during the week or for the beginning of a delicious meal. For added richness, I prefer to roast the squash in the oven for 30 minutes before adding to the soup stock. Other fall squash varieties work well, too, but my favorite is butternut. Garnish soup with fresh parsley.",20 mins,1 hr 25 mins,2 hrs 20 mins,6,"3 cloves garlic | 2 tablespoons olive oil, plus more for brushing | 1 sweet onion, chopped | 3 cups peeled and cubed butternut squash | 3 cups vegetable broth | salt and ground black pepper to taste | 1 cup unsweetened vanilla-flavored almond milk, or more to taste",https://www.allrecipes.com/thmb/8JNIvuSG6OX70p1QlWZMNaDXr4Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/718889-85ff8f8c00da451e8e187d40c7c78d99.jpg,20.0,85.0,140.0,35.0,E,Long Wait,Wait time > 30 min,"- Preheat the oven to 350 degrees F (175 degrees C).
- Cut off the top 1/4-inch of the garlic cloves and brush the cut cloves with a small amount of olive oil. Wrap in aluminum foil.
- Bake in the preheated oven until cloves are tender and browned, about 45 minutes. Let cool until safe to handle, about 5 minutes; chop.
- Heat olive oil in a 5-quart pot over medium-high heat. Add garlic and onion; saute until onion is translucent, about 5 minutes. Add butternut squash and broth. Season with salt and pepper. Bring to a boil, reduce heat, and simmer until squash is soft, about 30 minutes. Remove soup from heat and let cool slightly, about 30 minutes.
- Fill blender halfway with soup. Add about 1/2 cup of almond milk. Cover and hold lid down with a potholder; pulse a few times before leaving on to blend for 1 minute. Pour into a pot. Repeat with remaining soup and almond milk. Return soup to the stove over low heat before serving; cook until heated through, about 3 minutes."
