Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description
Sarah's Homemade Applesauce,4.8,This applesauce recipe is simple to make and delicious! I make it for my younger brother all the time and he loves it — and he hates canned applesauce!,10 mins,15 mins,25 mins,4,"4 apples - peeled, cored and chopped | ¾ cup water | ¼ cup white sugar | ½ teaspoon ground cinnamon",,10.0,15.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Quick and Easy Coconut Macaroons,3.3,These macaroons are delicious and so very easy to make. Enjoy!,15 mins,10 mins,25 mins,24,"cooking spray | 6 egg whites | ½ teaspoon cream of tartar | ½ cup white sugar, or more to taste | 1 teaspoon almond extract | 2 tablespoons all-purpose flour | 1 (14 ounce) package shredded coconut",https://www.allrecipes.com/thmb/LpWYe6Bl622aTQ2w3eL1H7GZ3Do=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/849027-40cf9b8871a14c7f82e804fc182b6ee4.jpg,15.0,10.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Bread and Butter Pickles,4.8,"These bread and butter pickles with cucumber, onion, and garlic are the best I have ever had — and I have been looking for a long time. I guarantee you'll love them! This recipe makes a lot, so get ready to crunch.",1 hr,30 mins,4 hrs 30 mins,50,"25 cucumbers, thinly sliced | 6 onions, thinly sliced | 2 green bell peppers, diced | 3 cloves garlic, chopped | ½ cup salt | 5 cups white sugar | 3 cups cider vinegar | 2 tablespoons mustard seed | 1 tablespoon ground turmeric | 1 ½ teaspoons celery seed | ½ teaspoon whole cloves",,60.0,30.0,270.0,180.0,E,Long Wait,Wait time > 30 min
Cream Cookies,3.8,These very light and flaky cream cookies are always requested for showers and weddings. Frost them with cream cheese icing when cool. Dough can be made days ahead.,25 mins,10 mins,1 hr 40 mins,50,"1 cup butter, softened | 2 cups all-purpose flour | ⅓ cup heavy cream | ½ cup white sugar, or as needed",https://www.allrecipes.com/thmb/wyemA81cjj0W0uD-lB34BZNiinA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1463896-83a569a841514a2196f4a7ce5a14b4b4.jpg,25.0,10.0,100.0,65.0,E,Long Wait,Wait time > 30 min
Hodie's Sloppy Joes,4.4,"This was my Grandma's recipe for Sloppy Joes. It is very easy to make and uses items you probably already have in your pantry. Kids, as well as the adults, will love this All-American favorite. A slice of American cheese adds a nice touch. For an extra kick, add your favorite hot sauce to taste.",10 mins,25 mins,35 mins,6,1 pound ground beef | ½ cup chopped onion | 1 (8 ounce) can tomato sauce | ⅓ cup ketchup | 2 tablespoons brown sugar | 1 tablespoon apple cider vinegar,https://www.allrecipes.com/thmb/2ZJYwh9nN8XwiPCGz5ENj4jL4h0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/54091-febab2bcc20b4f6b81ebeb0a66aa57f7.jpg,10.0,25.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Gingerbread Cookies with Orange Buttercream Frosting,3.0,My favorite gingerbread cookie recipe. The cookies are soft and cakey. The orange buttercream icing really ties the flavors together.,20 mins,20 mins,1 hr 20 mins,24,"1 cup butter | 1 cup white sugar | 1 cup molasses | 1 egg | 1 cup buttermilk | 3 teaspoons baking soda, divided | 1 teaspoon vinegar | 1 teaspoon ground cinnamon | 1 teaspoon ground cloves | 1 teaspoon ground ginger | ½ teaspoon ground nutmeg | ½ teaspoon salt | 4 cups all-purpose flour, or more as needed | 3 cups powdered sugar, or more as needed | 1 cup butter, softened | 2 oranges, zested and juiced",https://www.allrecipes.com/thmb/c6q5eEiAtIqOGqUpPNPYc2BKIZM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8726858-7606d26d77a84dd38e57707f6143dfd8.jpg,20.0,20.0,80.0,40.0,E,Long Wait,Wait time > 30 min
Chicken Parmesan Pasta Casserole,4.5,"This chicken Parmesan pasta bake is perfect for potluck meals, family gatherings, or in a smaller batch as comfort food for the family. It's my take on traditional chicken Parmesan. I came up with this for my wife's corporate potluck lunch. She wanted chicken Parmesan but it was too difficult to feed 20 people the conventional way. I figured a casserole would work just as well. It did!",20 mins,1 hr 30 mins,1 hr 55 mins,10,"1 (16 ounce) package uncooked rotini pasta | 1 pound skinless, boneless chicken breasts, cut into bite-size pieces | 2 cups vegetable oil for frying | 2 cups flour | 4 large eggs, beaten | 2 cups Italian seasoned bread crumbs | 2 tablespoons garlic powder | 1 (16 ounce) package shredded mozzarella cheese, divided | 1 cup grated Parmesan cheese, divided | 1 ½ (32 ounce) jars marinara sauce | ½ cup dry red wine (such as Sangiovese)",https://www.allrecipes.com/thmb/B8Y8dm8GbDw8hIsiNeoJPE9UR0Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7857348-632a586af6604e73a3defbe329dad7a5.jpg,20.0,90.0,115.0,5.0,D,Short Wait,Wait time 1-30 min
Italian Sausage Tortellini Bake,4.7,This delicious Italian sausage tortellini bake recipe will have you coming back for seconds.,10 mins,1 hr 20 mins,1 hr 30 mins,8,"1 pound bulk Italian sausage | 1 onion, chopped | 1 green bell pepper, chopped | 1 (24 ounce) jar marinara sauce | 1 (14 ounce) can Italian-style diced tomatoes | 1 teaspoon garlic powder | 1 (9 ounce) package frozen cheese-filled tortellini | 2 cups shredded mozzarella cheese",,10.0,80.0,90.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Vegan Fajitas,4.6,These vegan fajitas are a wonderful meatless version of traditional fajitas. This recipe can be prepared in advance or enjoyed right away.,20 mins,20 mins,1 hr 10 mins,6,"¼ cup olive oil | ¼ cup red wine vinegar | 1 teaspoon dried oregano | 1 teaspoon chili powder | 1 teaspoon white sugar | garlic salt to taste | salt and pepper to taste | 2 small zucchini, julienned | 2 medium small yellow squash, julienned | 1 large onion, sliced | 1 green bell pepper, cut into thin strips | 1 red bell pepper, cut into thin strips | 2 tablespoons olive oil | 1 (8.75 ounce) can whole kernel corn, drained | 1 (15 ounce) can black beans, drained",https://www.allrecipes.com/thmb/jTVDEoXbg5bwyYKk9IdHy7jTNeM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2185904-vegan-fajitas-Caleb-4x3-1-6f19903314a241b1a229bf7efe054bb4.jpg,20.0,20.0,70.0,30.0,D,Short Wait,Wait time 1-30 min
Instant Pot Haluski with Kielbasa,4.8,"Instant Pot haluski with kielbasa is a quick and easy one-pot Polish comfort recipe with cabbage, Polish sausage, and egg noodles for your busy evenings made in the Instant Pot.",15 mins,25 mins,45 mins,8,"1 small yellow onion, diced | 2 tablespoons butter | 1 medium head cabbage, shredded | 1 pound kielbasa sausage, sliced | 2 cups chicken broth | 1 (12 ounce) bag egg noodles | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/ochufjIZb24p0-af1o5gNzYisgw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7663315-e9ad1d624fa547b5972781554359045b.jpg,15.0,25.0,45.0,5.0,D,Short Wait,Wait time 1-30 min
Bean-Hole Beans,5.0,Beans Cooked Maine Style (in the ground),55 mins,12 hrs,13 hrs 10 mins,30,10 cups dried great Northern beans | 1 pound salt pork | 2 onions | 2 ½ cups molasses | 1 teaspoon black pepper | 4 teaspoons dry hot mustard | ½ cup butter,https://www.allrecipes.com/thmb/S0EnMIUgbDZF0HLdVnKvIw1YIUk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/617702-08be6ca8ceb34d85a1af9148e2539320.jpg,55.0,720.0,790.0,15.0,D,Short Wait,Wait time 1-30 min
Cheese Filling,4.9,"This cream cheese filling can be used in sweet breads, kolachkes, and braids or even dropped in the center of chocolate cupcakes. It tastes like cheesecake, and everyone loves it. It's yummy but loaded with calories.",10 mins,,10 mins,24,"2 (8 ounce) packages cream cheese, room temperature | 1 cup white sugar | 1 large egg yolk | 1 teaspoon vanilla extract",https://www.allrecipes.com/thmb/Afd1qk0dzoI_JXP11Xvkkoj7BpE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2566845-3bd426fafae1480f9af3b6475fde459c.jpg,10.0,,10.0,0.0,,,
Quick Tofu Stir Fry,5.0,"This tofu stir fry is super quick to make with firm tofu, frozen vegetables, and Chinese black bean sauce to create a delicious vegan dish. Serve stir-fried tofu over rice or noodles for a complete meal.",10 mins,15 mins,25 mins,4,"1 tablespoon peanut oil | 8 ounces extra-firm tofu, drained and cubed | 2 spring onions, sliced | 1 (16 ounce) bag frozen stir-fry vegetables | ½ cup black bean sauce | ¼ cup vegetable broth",https://www.allrecipes.com/thmb/olj8YozauvQlOcjJWeiJ2StCPSM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8293143-7a9cc7abbee2469bae11863b445c82fa.jpg,10.0,15.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait"
Super Easy Samosa Pie,4.0,"Don't deep fry your samosas, bake them! Serve hot with chutney or ketchup.",15 mins,30 mins,45 mins,8,"⅓ cup salt | 5 Yukon Gold potatoes, cut in half | 1 cup frozen peas | ½ teaspoon ground black pepper | ½ teaspoon ground coriander | 1 (15 ounce) package pastry for double crust 9-inch pies, thawed | 1 tablespoon chopped fresh mint, or to taste",https://www.allrecipes.com/thmb/42AFtHMz_glvLcLr0o2E4cO8dEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4519219-74d6a8b11cf647d5be9601c3de002411.jpg,15.0,30.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Dutch Oven Ground Beef Goulash,3.0,"This is a smoky, rich, Dutch oven goulash. The cavatappi pasta captures large amounts of this great paprika sauce. While the red pepper and lemon, added towards the end of cooking, add a little freshness which helps balance the sauce. Serve with a dollop of sour cream and some chives.",20 mins,1 hr 10 mins,1 hr 30 mins,6,"1 tablespoon olive oil | 1 large onion, chopped | 1 pound lean ground beef | 2 teaspoons ground black pepper | 1 teaspoon kosher salt | 1 (28 ounce) can fire-roasted diced tomatoes | 1 ½ cups beef broth | 3 tablespoons red wine | 3 tablespoons sweet paprika | 2 cloves garlic, minced | 1 tablespoon Worcestershire sauce | 2 teaspoons chopped fresh thyme | 2 teaspoons caraway seeds | 1 teaspoon chopped fresh rosemary | 2 bay leaves | 10 ounces cavatappi pasta | 1 medium red bell pepper, chopped | 1 teaspoon lemon juice",https://www.allrecipes.com/thmb/83lhhlzP41C8X_TZAWqQCG_qLYo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8687219-bc27da14918647a09e8d60c9d1e24991.jpg,20.0,70.0,90.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Easy Strawberry Lemonade,4.7,Wondering how to make easy strawberry lemonade? This is a very tasty and extremely easy recipe to put together. Everyone will love it!,5 mins,,5 mins,10,"1 (12 fluid ounce) can frozen lemonade concentrate, thawed | 4 ½ cups water | 1 (10 ounce) package frozen strawberries, partially thawed",https://www.allrecipes.com/thmb/u-NuFzY1oAS6g0Jcpw_aGzTdE0U=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3725812-e43d20549ced421393fb30d47b0d2f58.jpg,5.0,,5.0,0.0,,,
Super Easy Cream Cheese Flan,4.8,"This super easy cream cheese flan is a delicious, creamy dessert.",10 mins,1 hr 10 mins,4 hrs 20 mins,10,1 ½ cups white sugar | ¼ cup water | 1 (14 ounce) can sweetened condensed milk | 1 (12 ounce) can evaporated milk | 5 large eggs | 1 (8 ounce) package cream cheese | 1 teaspoon vanilla extract,https://www.allrecipes.com/thmb/7QvERWvVi1D1TTPDmDdiVH2ssic=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4518021-1239fbdb00ff471b9a8e6766b1881168.jpg,10.0,70.0,260.0,180.0,E,Long Wait,Wait time > 30 min
Easy and Delicious Chicken and Rice Casserole,3.9,This recipe is so easy to make. Just cover with foil and bake! This is really nice to make before going to church or even put in a slow cooker before work. Yum!,,,,5,"1 cup uncooked white rice | 1 (10.75 ounce) can condensed cream of chicken soup | 1 ⅞ cups water | 1 (1 ounce) package dry onion soup mix | 4 skinless, boneless chicken breast halves",,,,,,,,
Chewy Sugar Cookies,4.3,This chewy sugar cookie recipe makes delicious cookies that are crisp on the outside and very chewy on the inside. Just the way I like them! These cookies are meant to be shaped or dropped. This recipe can easily be made into snickerdoodle cookies by rolling the dough in cinnamon sugar before baking.,10 mins,10 mins,55 mins,30,2 ¾ cups all-purpose flour | 1 teaspoon baking soda | ½ teaspoon salt | 2 cups white sugar | 1 ¼ cups margarine | 2 large eggs | 2 teaspoons vanilla extract | ¼ cup white sugar for decoration,,10.0,10.0,55.0,35.0,E,Long Wait,Wait time > 30 min
Southern Potato Salad,4.7,"This Southern potato salad recipe combines warm chunks of tender potato with hard-boiled eggs, crunchy celery, mustard, and relish for an old-fashioned classic. This salad tastes best served warm.",30 mins,30 mins,1 hr,4,"4 medium potatoes | 4 large eggs | ½ cup mayonnaise | ½ stalk celery, chopped | ¼ cup sweet relish | 1 clove garlic, minced | 2 tablespoons prepared mustard | salt and pepper to taste",,30.0,30.0,60.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Chicken Meatballs and Spaghetti,4.5,"Chicken meatballs and spaghetti are a great alternative to beef or pork. Now, I love beef and pork, but I wanted to give my family something different. This recipe is for a family of five, plus a little extra for leftovers.",20 mins,45 mins,1 hr 5 mins,8,"3 (6 ounce) cans tomato paste | 2 ¼ cups water | 1 (16 ounce) can crushed tomatoes | 1 (8 ounce) can diced tomatoes | 1 tablespoon dried basil | salt and ground black pepper to taste | 2 pounds ground chicken | 1 cup dry bread crumbs | ½ cup grated Parmesan cheese | 2 eggs, lightly beaten | 2 tablespoons Italian seasoning | salt and ground black pepper to taste | cooking spray | 1 (16 ounce) package whole wheat spaghetti",,20.0,45.0,65.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Real Texas Chili,4.3,"This chili contains no onions, beans or tomatoes. It is even better the next day. Season to your tastes as it may be too spicy for you. You can also add pinto beans, sour cream and lime juice, if desired.",20 mins,2 hrs,2 hrs 20 mins,8,"3 pounds boneless beef chuck roast - cut into 1 inch cubes | 2 tablespoons olive oil | 3 cloves garlic, minced | 3 tablespoons chili powder | 2 teaspoons ground cumin | 3 tablespoons all-purpose flour | 1 tablespoon dried oregano | 2 (14 ounce) cans beef broth, divided | 1 teaspoon salt | ¼ teaspoon ground black pepper",https://www.allrecipes.com/thmb/It-876Etx0_MRv39IROvnFsATrM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8217104-4fb8b718d4e54f39bfddcf8dfd08cb5d.jpg,20.0,120.0,140.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait"
Chicken Salad Spread,4.3,The chicken salad spread is quick and easy. Add a few drops of hot sauce to the mixture if you want a little zip! Serve on lettuce for a salad or on bread for a sandwich.,5 mins,,5 mins,4,"1 (10 ounce) can chicken chunks, drained | ½ cup sweet pickles, chopped | ⅓ cup low-fat mayonnaise | ¼ cup chopped celery | ½ teaspoon onion powder",https://www.allrecipes.com/thmb/LOvJX5Ciwdl8RR50Wh0AkOchHqk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/AR-8790-Chicken-Salad-Spread-gw-ddmfs-beauty-4x3-a3a69c843ec34d84a7754834fe20ba32.jpg,5.0,,5.0,0.0,,,
Southern-Style Egg Salad,4.7,"Southern egg salad, primarily used for sandwiches. Serve on fresh bread of your choice. My wife likes to make double-decker sandwiches (utilizing whole wheat bread for the center slice) with pimento cheese on the other half. Trim the edges and cut into 2 or 3 pieces. Great for tailgating.",10 mins,10 mins,1 hr,10,6 large eggs | ⅓ cup mayonnaise | 2 tablespoons sweet India pickle relish | 2 teaspoons yellow mustard | 1 teaspoon white sugar | 1 teaspoon lemon juice | ¼ teaspoon salt | ¼ teaspoon ground black pepper | 3 dashes hot sauce (such as Tabasco®) (Optional),,10.0,10.0,60.0,40.0,E,Long Wait,Wait time > 30 min
Instant Pot Butternut Squash Risotto with Mushrooms,3.0,"Easiest, no-fuss risotto in the Instant Pot®.",10 mins,35 mins,50 mins,6,"2 tablespoons olive oil | 1 medium white onion, chopped | 4 cups peeled and cubed butternut squash (1/2-inch pieces), divided | 3 cloves garlic | 2 cups Arborio rice | ¼ cup dry white wine | 2 cups vegetable broth | 1 (8 ounce) package sliced portobello mushrooms | ½ cup chopped red bell pepper | ½ teaspoon kosher salt | ¼ teaspoon freshly grated nutmeg | 2 tablespoons chopped fresh flat-leaf parsley, or to taste | ¼ cup grated Parmesan cheese",https://www.allrecipes.com/thmb/qNkLcYGnHTAlFytfmYABgtjZg-8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4569780-50e7d7bd9e9a4a5895127d0888b034cb.jpg,10.0,35.0,50.0,5.0,D,Short Wait,Wait time 1-30 min
Really Real Strawberry Cupcakes,4.3,"For this from-scratch strawberry cupcake recipe, I tested and tasted lots of cupcakes. I was determined to make a perfect strawberry cupcake to go with a strawberry frosting I developed a couple of years ago. The trick is not using a purée, as I do when making frosting. Rather, I grind freeze-dried strawberries into a powder, which yields great results — it brought this cupcake recipe out of my test kitchen and into my recipe box!",30 mins,20 mins,50 mins,20,"1 ¼ ounces freeze-dried strawberries | ¾ cup all-purpose flour | ¾ cup cake flour | 1 ½ teaspoons baking powder | ¼ teaspoon baking soda | ½ teaspoon salt | 1 ⅓ cups white sugar | ½ cup unsalted butter, room temperature | 3 large eggs, room temperature | 1 teaspoon vanilla extract | ⅔ cup whole milk, room temperature",https://www.allrecipes.com/thmb/466gG_IjuXhJGiLVR-zjBAaokbs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1032730-2484203b552347e78e42c601d4dbd7d9.jpg,30.0,20.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait"
Home-style Tacos al Pastor (Chile and Pineapple Pork Tacos),4.6,"Home-style tacos al pastor (chile and pineapple pork tacos) are a favorite in Mexico and Mexican restaurants throughout the world for good reason: The mixture of smoky, spicy chiles, sweet pineapples, fresh onions, and cilantro is taco perfection. Tacos al pastor are typcially made by marinating pork in chile sauce, layering the meat on a vertical rotisserie, adorning it with a pineapple, and roasting it slowly for hours — a process that's almost impossible to replicate at home. So we've taken the delicious, authentic flavors that make these tacos so special and adapted the recipe for your home kitchen so you can enjoy it whenever a craving strikes!",25 mins,35 mins,3 hrs,6,"5 Goya guajillo chiles | 5 Goya pasilla chiles or Goya ancho chiles | 1 (20 ounce) can Goya pineapple chunks | 1 medium white onion | ¼ cup Goya white vinegar | 2 tablespoons Goya minced garlic | 1 chipotle pepper in adobo sauce | 1 teaspoon Goya ground cumin | Goya adobo with pepper, to taste | 1 (2 ½ pound) boneless, skinless pork butt, cut into ½ -inch cubes | 2 tablespoons Goya vegetable oil | 1 (10 ounce) package Goya corn tortillas, warmed | 2 tablespoons finely chopped fresh cilantro | 1 lime, cut into wedges",https://www.allrecipes.com/thmb/LCI8BAOxVjJClCWwTXAsJJJZXJw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2578523-28ebc132e09b4f598bfb14721fb9e444.jpg,25.0,35.0,180.0,120.0,E,Long Wait,Wait time > 30 min
